seq,rei_id,risk_id,cause_id,acause,study_id,bundle_id,bundle_version_id,risk_type,risk_unit,ln_rr,ln_rr_se,ref_risk_lower,ref_risk_upper,alt_risk_lower,alt_risk_upper,cov_incidence,cov_age,cov_bmi
228,102,drugs_alcohol,493,cvd_ihd,309665,9023,0,continuous,gday,0.329303747,0.721874269,0,5,20,30,1,1,1
229,102,drugs_alcohol,493,cvd_ihd,309665,9023,0,continuous,gday,-0.350656872,0.121035199,0,0,0,10,1,1,1
230,102,drugs_alcohol,493,cvd_ihd,309665,9023,0,continuous,gday,-0.336472237,0.169131159,0,0,0,5,1,1,1
231,102,drugs_alcohol,493,cvd_ihd,309665,9023,0,continuous,gday,-0.083381609,0.11467477,0,10,10,60,1,1,1
232,102,drugs_alcohol,493,cvd_ihd,309665,9023,0,continuous,gday,0.494696242,0.242595992,0,10,60,90,1,1,1
233,102,drugs_alcohol,493,cvd_ihd,309665,9023,0,continuous,gday,-0.083381609,0.396845716,0,5,5,20,1,1,1
234,102,drugs_alcohol,493,cvd_ihd,309665,9023,0,continuous,gday,0.329303747,0.721874269,0,5,20,30,1,1,1
235,102,drugs_alcohol,493,cvd_ihd,309665,9023,0,continuous,gday,-0.350656872,0.121035199,0,0,0,10,1,1,1
236,102,drugs_alcohol,493,cvd_ihd,309665,9023,0,continuous,gday,-0.336472237,0.169131159,0,0,0,5,1,1,1
237,102,drugs_alcohol,493,cvd_ihd,309667,9023,0,continuous,gday,-0.371063681,0.080844824,0,1.428571429,10,10,0,1,1
238,102,drugs_alcohol,493,cvd_ihd,309667,9023,0,continuous,gday,-0.820980552,0.209785437,0,1.428571429,20,30,0,1,1
239,102,drugs_alcohol,493,cvd_ihd,309667,9023,0,continuous,gday,0.039220713,0.087485906,0,1.428571429,1.428571429,1.428571429,0,1,1
240,102,drugs_alcohol,493,cvd_ihd,309667,9023,0,continuous,gday,0,0.079321157,0,1.428571429,2.857142858,5.714285716,0,1,1
241,102,drugs_alcohol,493,cvd_ihd,309667,9023,0,continuous,gday,-0.301105093,0.103434977,0,1.428571429,7.142857145,8.571428574,0,1,1
242,102,drugs_alcohol,493,cvd_ihd,309667,9023,0,continuous,gday,-0.430782916,0.113062611,0,1.428571429,10,10,0,1,1
243,102,drugs_alcohol,493,cvd_ihd,309667,9023,0,continuous,gday,-0.634878272,0.258061457,0,1.428571429,20,30,0,1,1
244,102,drugs_alcohol,493,cvd_ihd,309667,9023,0,continuous,gday,0.076961041,0.123623069,0,1.428571429,1.428571429,1.428571429,0,1,1
245,102,drugs_alcohol,493,cvd_ihd,309667,9023,0,continuous,gday,-0.040821995,0.109893601,0,1.428571429,2.857142858,5.714285716,0,1,1
246,102,drugs_alcohol,493,cvd_ihd,309667,9023,0,continuous,gday,-0.198450939,0.139207768,0,1.428571429,7.142857145,8.571428574,0,1,1
247,102,drugs_alcohol,493,cvd_ihd,309668,9023,0,continuous,gday,-0.579818495,0.086608964,0,0,0.1,4.9,1,1,1
248,102,drugs_alcohol,493,cvd_ihd,309668,9023,0,continuous,gday,-0.967584026,0.114528117,0,0,5,14.9,1,1,1
249,102,drugs_alcohol,493,cvd_ihd,309668,9023,0,continuous,gday,-1.049822124,0.20314577,0,0,15,29.9,1,1,1
250,102,drugs_alcohol,493,cvd_ihd,309668,9023,0,continuous,gday,-0.616186139,0.163393736,0,0,30,45,1,1,1
251,102,drugs_alcohol,493,cvd_ihd,309669,9023,0,continuous,gday,-1.203972804,0.49640565,0,0,0.1,8.9,1,1,1
252,102,drugs_alcohol,493,cvd_ihd,309669,9023,0,continuous,gday,-0.693147181,0.434884717,0,0,9,34,1,1,1
253,102,drugs_alcohol,493,cvd_ihd,309669,9023,0,continuous,gday,-0.223143551,0.722758506,0,0,34,51,1,1,1
254,102,drugs_alcohol,493,cvd_ihd,309671,9023,0,continuous,gday,-0.072570693,0.098919778,0,0,1.4,4.9,1,1,1
255,102,drugs_alcohol,493,cvd_ihd,309671,9023,0,continuous,gday,-0.061875404,0.094560967,0,0,5,14.2,1,1,1
256,102,drugs_alcohol,493,cvd_ihd,309671,9023,0,continuous,gday,-0.210721031,0.105998838,0,0,14.25,23.9,1,1,1
257,102,drugs_alcohol,493,cvd_ihd,309671,9023,0,continuous,gday,-0.261364764,0.102081647,0,0,24.2,36.3,1,1,1
258,102,drugs_alcohol,493,cvd_ihd,309672,9023,0,continuous,gday,1.029619417,0.390295113,14.00269608,28.00539216,42.00808824,63.01213236,1,1,1
259,102,drugs_alcohol,493,cvd_ihd,431103,9023,0,continuous,gday,-0.210721031,0.050555339,0.1,4.9,5,14.9,0,1,1
260,102,drugs_alcohol,493,cvd_ihd,431103,9023,0,continuous,gday,-0.287682072,0.061520933,0.1,4.9,15,29.9,0,1,1
261,102,drugs_alcohol,493,cvd_ihd,428293,9023,0,continuous,gday,-0.314710745,0.073388284,0,0,0,10,0,1,1
262,102,drugs_alcohol,493,cvd_ihd,309674,9023,0,continuous,gday,-0.558616288,0.080476698,0,0,9.142857144,16,1,1,1
263,102,drugs_alcohol,493,cvd_ihd,309674,9023,0,continuous,gday,-0.586986985,0.080014683,0,0,17.14285715,32,1,1,1
264,102,drugs_alcohol,493,cvd_ihd,309674,9023,0,continuous,gday,-0.497580397,0.081372214,0,0,33.14285715,49.71428572,1,1,1
265,102,drugs_alcohol,493,cvd_ihd,309675,9023,0,continuous,gday,-0.040821995,0.298819297,0,0,0,12,0,1,1
266,102,drugs_alcohol,493,cvd_ihd,432641,9023,0,continuous,gday,0.832909123,0.396262359,0,0,33.58333333,50.375,0,1,1
267,102,drugs_alcohol,493,cvd_ihd,428293,9023,0,continuous,gday,-0.223143551,0.113848751,0,0,11.42857143,24.17000001,0,1,1
268,102,drugs_alcohol,493,cvd_ihd,428293,9023,0,continuous,gday,-0.342490309,0.161664225,0,0,24.17000001,36.25500001,0,1,1
269,102,drugs_alcohol,493,cvd_ihd,432749,9023,0,continuous,gday,-0.083381609,0.055073566,0,6,6,12,0,1,1
270,102,drugs_alcohol,493,cvd_ihd,432749,9023,0,continuous,gday,-0.162518929,0.059595625,0,6,12,24,0,1,1
271,102,drugs_alcohol,493,cvd_ihd,432749,9023,0,continuous,gday,-0.287682072,0.095070226,0,6,24,36,0,1,1
272,102,drugs_alcohol,493,cvd_ihd,309676,9023,0,continuous,gday,0.385262401,0.245257951,0,11.20215686,67.21294116,100.8194117,1,1,1
273,102,drugs_alcohol,493,cvd_ihd,309677,9023,0,continuous,gday,-0.174353387,0.228888402,0,0,0.714285715,8.571428574,0,1,1
274,102,drugs_alcohol,493,cvd_ihd,309677,9023,0,continuous,gday,-0.385662481,0.300146385,0,0,10,30.00000001,0,1,1
275,102,drugs_alcohol,493,cvd_ihd,309677,9023,0,continuous,gday,-0.223143551,0.997965052,0,0,30.00000001,45.00000001,0,1,1
276,102,drugs_alcohol,493,cvd_ihd,309678,9023,0,continuous,gday,-0.127833372,0.243025096,0,0,3.333975257,3.333975257,1,1,1
