seq,rei_id,risk_id,cause_id,acause,study_id,bundle_id,bundle_version_id,risk_type,risk_unit,ln_rr,ln_rr_se,ref_risk_lower,ref_risk_upper,alt_risk_lower,alt_risk_upper,cov_incidence,cov_age
353,102,drugs_alcohol,976,diabetes_typ2,529754,9023,0,continuous,gday,0.307484699747961,0.566738783280709,0,0,1.71428571428571,12,0,0
354,102,drugs_alcohol,976,diabetes_typ2,529754,9023,0,continuous,gday,-0.616186139423817,0.859004038261856,0,0,13.7142857142857,24,0,0
355,102,drugs_alcohol,976,diabetes_typ2,529754,9023,0,continuous,gday,0.048790164169432,0.688932454748646,0,0,25.7142857142857,38.5714285714286,0,0
356,102,drugs_alcohol,976,diabetes_typ2,529754,9023,0,continuous,gday,-0.139262067333508,0.324292099830383,0,0,1.71428571428571,12,0,0
357,102,drugs_alcohol,976,diabetes_typ2,529754,9023,0,continuous,gday,0,0.632434424763074,0,0,13.7142857142857,24,0,0
358,102,drugs_alcohol,976,diabetes_typ2,529636,9023,0,continuous,gday,0.173112617708645,0.0484186283737876,0,0,11.4285714285714,20,0,0
359,102,drugs_alcohol,976,diabetes_typ2,413829,9023,0,continuous,gday,-0.0202027073175195,0.0650976798619455,0,1.71428571428571,0,0,0,0
360,102,drugs_alcohol,976,diabetes_typ2,413829,9023,0,continuous,gday,-0.127833371509885,0.0717263753649457,0,1.71428571428571,3.42857142857143,12,0,0
361,102,drugs_alcohol,976,diabetes_typ2,413829,9023,0,continuous,gday,-0.287682072451781,0.128547240030974,0,1.71428571428571,13.7142857142857,24,0,0
362,102,drugs_alcohol,976,diabetes_typ2,413829,9023,0,continuous,gday,-0.0943106794712413,0.200756616269796,0,1.71428571428571,25.7142857142857,38.5714285714286,0,0
363,102,drugs_alcohol,976,diabetes_typ2,413829,9023,0,continuous,gday,-0.0408219945202552,0.0894089218599008,0,1.71428571428571,0,0,0,0
