seq,rei_id,risk_id,cause_id,acause,study_id,bundle_id,bundle_version_id,risk_type,risk_unit,ln_rr,ln_rr_se,ref_risk_lower,ref_risk_upper,alt_risk_lower,alt_risk_upper,cov_age
68,102,drugs_alcohol,450,neo_otherpharynx,543726,9023,0,continuous,gday,0.46373401623214,0.0272153424970241,0,0,11,29,1
69,102,drugs_alcohol,450,neo_otherpharynx,543726,9023,0,continuous,gday,0.936093359170335,0.0329945189705323,0,0,30,49,1
70,102,drugs_alcohol,450,neo_otherpharynx,543726,9023,0,continuous,gday,1.66581824587021,0.0294210938718561,0,0,50,75,1
71,102,drugs_alcohol,450,neo_otherpharynx,542916,9023,0,continuous,gday,1.16164968367941,0.122139543308332,0,20,20,40,1
72,102,drugs_alcohol,450,neo_otherpharynx,542916,9023,0,continuous,gday,2.53921331607324,0.136401324675205,0,20,40,80,1
73,102,drugs_alcohol,450,neo_otherpharynx,542916,9023,0,continuous,gday,4.4675492999152,0.233369939809388,0,20,80,120,1
74,102,drugs_alcohol,450,neo_otherpharynx,543200,9023,0,continuous,gday,0.598836501088704,0.26971197666114,0,28,30,45,0
75,102,drugs_alcohol,450,neo_otherpharynx,502194,9023,0,continuous,gday,-0.105360515657826,0.322601384219993,0,28,30,45,1
76,102,drugs_alcohol,450,neo_otherpharynx,502194,9023,0,continuous,gday,0.797507195884188,0.30545761051732,0,28,30,45,1
77,102,drugs_alcohol,450,neo_otherpharynx,543684,9023,0,continuous,gday,0.207014169384326,0.20446816767391,0,0,14,28,1
78,102,drugs_alcohol,450,neo_otherpharynx,543684,9023,0,continuous,gday,1.0681530811834,0.211550855837889,0,0,42,63,1
